Debut	Fin	Code	NDVI_moyen_BV	NDVI_minimum_BV	NDVI_maximum_BV	NDVI_moyen_Tourbiere_Landemarais	NDVI_minimum_Tourbiere_Landemarais	NDVI_maximum_Tourbiere_Landemarais	NDVI_moyen_Marais_Sougeal	NDVI_minimum_Marais_Sougeal	NDVI_maximum_Marais_Sougeal															
2020-06-26	2020-07-11	177	0,717	0,197	0,948	0,787	0,765	0,801	0,773	0,716	0,811															
2020-07-12	2020-07-27	193	0,705	0,22	0,921	0,804	0,786	0,822	0,788	0,715	0,837															
2020-07-28	2020-08-12	209	0,673	0,231	0,953	0,783	0,773	0,79	0,752	0,686	0,808															
2020-08-13	2020-08-28	225	0,639	0,06	0,995	0,715	0,646	0,741	0,727	0,616	0,813															
2020-08-29	2020-09-13	241	0,726	0,271	0,923	0,727	0,629	0,804	0,816	0,779	0,852															
2020-09-14	2020-09-29	257	0,669	0,137	0,941	0,776	0,765	0,791	0,785	0,706	0,826															
2020-09-30	2020-10-15	273	0,656	0,109	0,966	0,768	0,735	0,794	0,783	0,714	0,823															
2020-10-16	2020-10-31	289	0,643	0,043	0,991	0,759	0,704	0,796	0,75	0,721	0,819															
2020-11-01	2020-11-16	305	0,676	0,216	0,907	0,722	0,692	0,769	0,794	0,734	0,823															
2020-11-17	2020-12-02	321	0,671	0,184	0,872	0,672	0,621	0,767	0,766	0,692	0,806															
2020-12-03	2020-12-18	337	0,683	0,152	0,935	0,741	0,679	0,82	0,638	0,595	0,791															
2020-12-19	2020-01-03	353	0,694	0,119	0,998	0,806	0,732	0,873	0,574	0,497	0,774															
2019-01-01	2019-01-16	1	0,663	0,124	0,98	0,69	0,63	0,732	0,693	0,62	0,759															
2019-01-17	2019-02-01	17	0,711	0,054	0,978	0,736	0,695	0,772	0,774	0,717	0,805															
2019-02-02	2019-02-17	33	0,688	0,33	0,872	0,738	0,711	0,77	0,523	0,033	0,774															
2019-02-18	2019-03-05	49	0,673	0,219	0,872	0,687	0,63	0,764	0,714	0,599	0,791															
2019-03-06	2019-03-21	65	0,711	0,099	0,998	0,761	0,731	0,833	0,75	0,528	0,867															
2019-03-22	2019-04-06	81	0,714	0,17	0,898	0,738	0,705	0,77	0,788	0,684	0,858															
2019-04-07	2019-04-22	97	0,713	0,145	0,905	0,723	0,692	0,763	0,812	0,744	0,871															
2019-04-23	2019-05-08	113	0,698	0,084	0,994	0,699	0,633	0,804	0,771	0,654	0,822															
2019-05-09	2019-05-24	129	0,668	0,133	0,952	0,779	0,737	0,831	0,791	0,683	0,872															
2019-05-25	2019-06-09	145	0,65	0,088	0,97	0,788	0,689	0,831	0,772	0,649	0,824															
2019-06-10	2019-06-25	161	0,667	0,126	0,922	0,771	0,694	0,817	0,781	0,698	0,832															
2019-06-26	2019-07-11	177	0,672	0,228	0,916	0,794	0,761	0,822	0,763	0,646	0,793															
2019-07-12	2019-07-27	193	0,663	0,183	0,916	0,784	0,754	0,813	0,756	0,691	0,797															
2019-07-28	2019-08-12	209	0,666	0,237	0,918	0,805	0,786	0,821	0,751	0,697	0,807															
2019-08-13	2019-08-28	225	0,68	0,214	0,987	0,775	0,737	0,818	0,749	0,669	0,84															
2019-08-29	2019-09-13	241	0,674	0,111	0,99	0,74	0,703	0,797	0,758	0,67	0,839															
2019-09-14	2019-09-29	257	0,609	0,164	0,896	0,697	0,678	0,751	0,712	0,615	0,786															
2019-09-30	2019-10-15	273	0,532	0,022	0,998	0,696	0,671	0,739	0,718	0,626	0,767															
2019-10-16	2019-10-31	289	0,662	0,145	0,932	0,695	0,664	0,727	0,724	0,637	0,747															
2019-11-01	2019-11-16	305	0,682	0,035	0,978	0,732	0,65	0,793	0,729	0,622	0,754															
2019-11-17	2019-12-02	321	0,698	-0,013	0,998	0,674	0,598	0,745	0,734	0,607	0,812															
2019-12-03	2019-12-18	337	0,636	0,199	0,864	0,685	0,609	0,757	0,672	0,517	0,761															
2019-12-19	2019-01-03	353	0,643	0,233	0,861	0,658	0,643	0,668	0,628	0,427	0,768															
2018-01-01	2018-01-16	1	0,681	-0,152	0,917	0,728	0,654	0,792	0,412	-0,151	0,747															
2018-01-17	2018-02-01	17	0,67	0,05	0,997	0,619	0,389	0,757	0,419	0,166	0,73															
2018-02-02	2018-02-17	33	0,692	0,277	0,955	0,676	0,646	0,713	0,666	0,577	0,729															
2018-02-18	2018-03-05	49	0,667	0,198	0,881	0,662	0,562	0,753	0,648	0,479	0,766															
2018-03-06	2018-03-21	65	0,613	0,014	0,997	0,607	0,587	0,64	0,667	0,238	0,792															
2018-03-22	2018-04-06	81	0,659	0,086	0,957	0,637	0,54	0,685	0,728	0,591	0,835															
2018-04-07	2018-04-22	97	0,682	0,244	0,904	0,719	0,654	0,746	0,721	0,623	0,823															
2018-04-23	2018-05-08	113	0,689	0,172	0,964	0,749	0,697	0,8	0,776	0,613	0,879															
2018-05-09	2018-05-24	129	0,669	0,141	0,952	0,77	0,73	0,791	0,791	0,654	0,887															
2018-05-25	2018-06-09	145	0,648	0,062	0,999	0,807	0,742	0,932	0,855	0,735	0,923															
2018-06-10	2018-06-25	161	0,671	0,231	0,919	0,779	0,674	0,809	0,68	0,571	0,783															
2018-06-26	2018-07-11	177	0,713	0,22	0,923	0,779	0,743	0,798	0,684	0,616	0,765															
2018-07-12	2018-07-27	193	0,684	0,221	0,918	0,752	0,725	0,768	0,692	0,632	0,764															
2018-07-28	2018-08-12	209	0,646	0,105	0,91	0,75	0,732	0,783	0,665	0,557	0,749															
2018-08-13	2018-08-28	225	0,679	0,137	0,898	0,746	0,693	0,762	0,722	0,632	0,748															
2018-08-29	2018-09-13	241	0,686	0,199	0,992	0,792	0,763	0,827	0,742	0,693	0,795															
2018-09-14	2018-09-29	257	0,57	0,19	0,882	0,681	0,656	0,692	0,705	0,604	0,751															
2018-09-30	2018-10-15	273	0,592	0,207	0,881	0,696	0,669	0,738	0,678	0,63	0,724															
2018-10-16	2018-10-31	289	0,613	0,176	0,886	0,719	0,668	0,76	0,698	0,66	0,747															
2018-11-01	2018-11-16	305	0,629	0,174	0,86	0,69	0,646	0,707	0,674	0,629	0,728															
2018-11-17	2018-12-02	321	0,628	0,159	0,877	0,673	0,649	0,719	0,654	0,61	0,7															
2018-12-03	2018-12-18	337	0,649	0,196	0,925	0,701	0,645	0,73	0,693	0,607	0,731															
2018-12-19	2018-01-03	353	0,663	0,262	0,855	0,69	0,639	0,732	0,717	0,638	0,749															
2017-01-01	2017-01-16	1	0,632	0,196	0,864	0,631	0,597	0,679	0,685	0,622	0,741															
2017-01-17	2017-02-01	17	0,623	0,182	0,852	0,608	0,559	0,661	0,666	0,603	0,734															
2017-02-02	2017-02-17	33	0,591	0,184	0,815	0,528	0,304	0,684	0,632	0,549	0,7															
2017-02-18	2017-03-05	49	0,633	0,212	0,793	0,613	0,604	0,638	0,625	0,591	0,667															
2017-03-06	2017-03-21	65	0,702	0,238	0,892	0,661	0,619	0,711	0,758	0,665	0,83															
2017-03-22	2017-04-06	81	0,712	0,16	0,903	0,693	0,655	0,755	0,799	0,689	0,84															
2017-04-07	2017-04-22	97	0,698	0,143	0,901	0,689	0,637	0,763	0,79	0,688	0,874															
2017-04-23	2017-05-08	113	0,677	0,138	0,997	0,635	0,627	0,653	0,749	0,67	0,836															
2017-05-09	2017-05-24	129	0,695	0,167	0,914	0,738	0,713	0,771	0,776	0,717	0,835															
2017-05-25	2017-06-09	145	0,673	0,176	0,956	0,792	0,768	0,818	0,781	0,585	8,83															
2017-06-10	2017-06-25	161	0,708	0,176	0,926	0,808	0,8	0,828	0,778	0,724	0,827															
2017-06-26	2017-07-11	177	0,685	0,221	0,923	0,784	0,768	0,835	0,753	0,676	0,812															
2017-07-12	2017-07-27	193	0,673	0,06	0,995	0,784	0,742	0,812	0,601	0,207	0,811															
2017-07-28	2017-08-12	209	0,671	0,06	0,998	0,865	0,853	0,883	0,814	0,763	0,87															
2017-08-13	2017-08-28	225	0,681	0,202	0,999	0,716	0,701	0,743	0,794	0,483	0,853															
2017-08-29	2017-09-13	241	0,677	0,064	0,998	0,74	0,648	0,796	0,65	0,624	0,675															
2017-09-14	2017-09-29	257	0,715	0,071	0,998	0,759	0,749	0,76	0,831	0,676	0,866															
2017-09-30	2017-10-15	273	0,673	0,06	0,967	0,692	0,642	0,721	0,7	0,369	0,835															
2017-10-16	2017-10-31	289	0,686	0,252	0,988	0,733	0,711	0,752	0,76	0,594	0,862															
2017-11-01	2017-11-16	305	0,68	0,288	0,892	0,712	0,655	0,771	0,791	0,693	0,835															
2017-11-17	2017-12-02	321	0,651	0,155	0,975	0,681	0,632	0,715	0,757	0,51	0,883															
2017-12-03	2017-12-18	337	0,631	-0,08	0,997	0,704	0,65	0,758	0,745	0,576	0,786															
2017-12-19	2017-01-03	353	0,57	-0,121	0,987	0,497	0,434	0,627	0,489	-0,121	0,727															
2016-01-01	2016-01-16	1	0,756	0,143	0,933	0,695	0,613	0,809	0,833	0,632	0,909															
2016-01-17	2016-02-01	17	0,598	0,01	0,994	0,621	0,578	0,779	0,703	0,515	0,793															
2016-02-02	2016-02-17	33	0,74	0,304	0,914	0,723	0,697	0,756	0,686	0,396	0,833															
2016-02-18	2016-03-05	49	0,712	0,12	0,968	0,707	0,654	0,773	0,739	0,279	0,893															
2016-03-06	2016-03-21	65	0,674	-0,129	0,945	0,676	0,625	0,703	0,306	-0,129	0,729															
2016-03-22	2016-04-06	81	0,625	0,046	0,997	0,573	0,391	0,74	0,627	0,257	0,82															
2016-04-07	2016-04-22	97	0,699	0,136	0,908	0,702	0,627	0,771	0,8	0,684	0,868															
2016-04-23	2016-05-08	113	0,645	0,115	0,985	0,626	0,535	0,702	0,809	0,686	0,871															
2016-05-09	2016-05-24	129	0,572	0,049	0,999	0,31	0,08	0,615	0,681	0,189	0,847															
2016-05-25	2016-06-09	145	0,671	0,112	0,992	0,637	0,483	0,742	0,843	0,77	0,876															
2016-06-10	2016-06-25	161	0,521	0,022	0,998	0,433	0,23	0,712	0,475	0,137	0,823															
2016-06-26	2016-07-11	177	0,693	0,317	0,905	0,761	0,748	0,779	0,777	0,706	0,816															
2016-07-12	2016-07-27	193	0,669	0,194	0,918	0,799	0,785	0,821	0,789	0,716	0,827															
2016-07-28	2016-08-12	209	0,709	0,095	0,984	0,833	0,797	0,882	0,734	0,276	0,84															
2016-08-13	2016-08-28	225	0,699	0,223	0,919	0,805	0,741	0,863	0,735	0,632	0,785															
2016-08-29	2016-09-13	241	0,658	0,197	0,904	0,788	0,724	0,84	0,698	0,649	0,768															
2016-09-14	2016-09-29	257	0,619	0,105	0,998	0,757	0,723	0,791	0,69	0,536	0,751															
2016-09-30	2016-10-15	273	0,596	0,121	0,936	0,714	0,679	0,752	0,668	0,561	0,728															
