Debut	Fin	Code	NDVI_moyen_BV	NDVI_minimum_BV	NDVI_maximum_BV	NDVI_moyen_Tourbiere_Landemarais	NDVI_minimum_Tourbiere_Landemarais	NDVI_maximum_Tourbiere_Landemarais	NDVI_moyen_Marais_Sougeal	NDVI_minimum_Marais_Sougeal	NDVI_maximum_Marais_Sougeal															
2012-11-17	2012-12-02	321	0,655	0,181	0,884	0,692	0,648	0,728	0,755	0,696	0,803															
2012-12-03	2012-12-18	337	0,617	0,15	0,991	0,633	0,57	0,718	0,608	0,406	0,726															
2012-12-19	2012-01-03	353	0,568	-0,012	0,995	0,678	0,619	0,76	0,341	0,106	0,809															
2003-01-01	2003-01-16	1	0,665	-0,091	0,889	0,624	0,521	0,733	0,354	-0,091	0,584															
2003-01-17	2003-02-01	17	0,593	0,147	0,921	0,632	0,556	0,719	0,657	0,518	0,74															
2003-02-02	2003-02-17	33	0,547	0,087	0,953	0,579	0,537	0,637	0,563	0,314	0,72															
2003-02-18	2003-03-05	49	0,529	0,167	0,752	0,589	0,517	0,642	0,633	0,488	0,695															
2003-03-06	2003-03-21	65	0,583	0,142	0,825	0,58	0,512	0,674	0,682	0,599	0,753															
2003-03-22	2003-04-06	81	0,642	0,137	0,881	0,66	0,608	0,712	0,738	0,596	0,829															
2003-04-07	2003-04-22	97	0,646	0,163	0,882	0,703	0,674	0,742	0,739	0,641	0,808															
2003-04-23	2003-05-08	113	0,637	0,118	0,924	0,751	0,691	0,798	0,801	0,699	0,85															
2003-05-09	2003-05-24	129	0,644	0,068	0,997	0,803	0,722	0,851	0,723	0,12	0,879															
2003-05-25	2003-06-09	145	0,701	0,096	0,996	0,834	0,809	0,862	0,791	0,622	0,86															
2003-06-10	2003-06-25	161	0,693	0,199	0,926	0,818	0,786	0,83	0,792	0,712	0,837															
2003-06-26	2003-07-11	177	0,704	0,26	0,928	0,796	0,78	0,806	0,72	0,632	0,788															
2003-07-12	2003-07-27	193	0,651	0,229	0,911	0,783	0,738	0,826	0,667	0,562	0,758															
2003-07-28	2003-08-12	209	0,698	0,216	0,914	0,808	0,792	0,827	0,732	0,638	0,787															
2003-08-13	2003-08-28	225	0,64	0,198	0,997	0,718	0,607	0,751	0,652	0,595	0,713															
2003-08-29	2003-09-13	241	0,545	0,168	0,901	0,709	0,556	0,753	0,597	0,528	0,68															
2003-09-14	2003-09-29	257	0,529	0,179	0,908	0,754	0,723	0,79	0,617	0,53	0,735															
2003-09-30	2003-10-15	273	0,584	0,115	0,954	0,722	0,702	0,752	0,663	0,525	0,733															
2003-10-16	2003-10-31	289	0,615	0,186	0,867	0,746	0,717	0,77	0,69	0,626	0,776															
2003-11-01	2003-11-16	305	0,613	0,145	0,88	0,709	0,682	0,73	0,641	0,594	0,686															
2003-11-17	2003-12-02	321	0,602	0,047	0,928	0,685	0,647	0,745	0,682	0,631	0,745															
2003-12-03	2003-12-18	337	0,667	0,2	0,879	0,689	0,643	0,771	0,709	0,642	0,756															
2003-12-19	2003-01-03	353	0,593	-0,068	0,998	0,641	0,6	0,682	0,661	0,573	0,775															
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
