"","Placette","12","13","14","15","16","17","19","21","22"
"1","1",1.2231680122467,1.92260798674717,2.06903380474214,1.82575571742268,1.74185924942983,2.08287751477309,1.66026313270885,0.881925293403628,NA
"2","10",1.44738118676438,1.62018645941559,1.44594250248044,1.67961025930424,1.49724785610318,1.66674096430271,1.64571250315738,1.52077547517501,NA
"3","11",1.22059378971339,1.48326317914111,1.36550083826304,1.49146487166018,1.0258687933461,1.47680482242971,1.496338160705,0.898193584452116,NA
"4","12",1.94462252313707,1.85598027507177,1.99765157480366,2.14386273832432,NA,2.1736855165628,1.97716687849422,NA,2.07726831491861
"5","13",0.786041213640835,0.786041213640835,0.409437790198208,0.417088288577351,NA,0.432345533127316,NA,NA,NA
"6","14",1.81503326018211,1.68441887774571,NA,1.21690194625786,NA,1.68320924240569,1.52530015252942,NA,1.6806277527754
"7","15",1.06317942389874,0.555019367235325,0.545377299035498,0.127103174735099,NA,0.97212094889876,0,NA,NA
"8","16",1.74529423433289,1.67606754112087,NA,1.7534102364717,NA,1.36372440811026,NA,NA,NA
"9","17",1.75642375267824,1.82481515750522,1.31966092952918,1.87908239722514,NA,1.95635311876098,1.63138928584484,NA,2.07568168884606
"10","2",1.51144581335906,1.70012002118074,1.79536951962195,1.78457701321462,1.6076220933199,1.74091369581266,1.36550083826304,NA,1.67527387237564
"11","3",1.6571861930688,1.51715037856159,1.57090194485032,1.64781954038242,1.62655242393434,1.61444738832803,1.47858974851267,1.74926898293377,NA
"12","4",1.51229501564564,1.49826558695252,NA,1.71634801874658,NA,1.85528705990723,1.91692818701101,NA,1.63884153098283
"13","5",1.59964115550546,1.36335361918969,NA,1.79802472266126,NA,1.94872314224867,1.8237576895493,NA,1.89874081148238
"14","6",0.646799480545806,1.06404378507243,NA,1.14096680667976,NA,1.03542443959987,1.14096680667976,NA,1.45983634920383
"15","7",1.90577350950317,1.90577350950317,2.0598788848752,1.45983634920383,1.41884518553599,1.5044769635026,1.47120864478061,1.62012126786963,NA
"16","8",2.35225612677149,2.15403082523832,2.77718413016746,2.71153385084957,2.71004488350134,2.8432570020362,2.82312764724655,1.91887009644196,NA
"17","9",0.931064999379945,1.57523882003241,1.13747769491178,1.0072444756022,NA,1.84140366768813,0.928227510719217,NA,1.63702726668784
