"","Placette","X12","X13","X14","X15","X16","X17","X19","X21","X22"
"1",1,1.2231680122467,1.92260798674717,2.06903380474214,1.82575571742268,1.74185924942983,2.08287751477309,1.66026313270885,0.881925293403628,1.70234322673567
"2",10,1.44738118676438,1.62018645941559,1.44594250248044,1.67961025930424,1.49724785610318,1.66674096430271,1.64571250315738,1.52077547517501,1.80226500771156
"3",11,1.22059378971339,1.48326317914111,1.36550083826304,1.49146487166018,1.0258687933461,1.47680482242971,1.496338160705,0.898193584452116,1.64190122166087
"4",12,1.94462252313707,1.85598027507177,1.99765157480366,2.14386273832432,1.93232202703472,2.1736855165628,1.97716687849422,1.84379225780691,2.07726831491861
"5",13,0.786041213640835,0.786041213640835,0.409437790198208,0.417088288577351,0.127286655667253,0.432345533127316,0.202901366093583,0.906528590459682,1.34361494958382
"6",14,1.81503326018211,1.68441887774571,1.3995776182989,1.21690194625786,1.31171845004713,1.68320924240569,1.52530015252942,1.59400983378754,1.6806277527754
"7",15,1.06317942389874,0.555019367235325,0.545377299035498,0.127103174735099,0.159320747163368,0.97212094889876,0,1.04553061617203,1.39975588612473
"8",16,1.74529423433289,1.67606754112087,1.39375035125357,1.7534102364717,1.35839196526769,1.36372440811026,1.42928092316651,1.74094771112083,1.88417873685503
"9",17,1.75642375267824,1.82481515750522,1.31966092952918,1.87908239722514,1.58655044831404,1.95635311876098,1.63138928584484,1.9233455913109,2.07568168884606
"10",2,1.51144581335906,1.70012002118074,1.79536951962195,1.78457701321462,1.6076220933199,1.74091369581266,1.36550083826304,1.14911428102223,1.67527387237564
"11",3,1.6571861930688,1.51715037856159,1.57090194485032,1.64781954038242,1.62655242393434,1.61444738832803,1.47858974851267,1.74926898293377,1.79688633422591
"12",4,1.51229501564564,1.49826558695252,1.80399570656269,1.71634801874658,1.56029810734726,1.85528705990723,1.91692818701101,1.19864876586509,1.63884153098283
"13",5,1.59964115550546,1.36335361918969,1.82552887952143,1.79802472266126,1.63937779312021,1.94872314224867,1.8237576895493,1.36265082836884,1.89874081148238
"14",6,0.646799480545806,1.06404378507243,1.1236113275239,1.14096680667976,0.771479118675615,1.03542443959987,1.14096680667976,0.822195990329069,1.45983634920383
"15",7,1.90577350950317,1.90577350950317,2.0598788848752,1.45983634920383,1.41884518553599,1.5044769635026,1.47120864478061,1.62012126786963,1.85316127792636
"16",8,2.35225612677149,2.15403082523832,2.77718413016746,2.71153385084957,2.71004488350134,2.8432570020362,2.82312764724655,1.91887009644196,2.21994526066803
"17",9,0.931064999379945,1.57523882003241,1.13747769491178,1.0072444756022,1.04478141563743,1.84140366768813,0.928227510719217,1.14982598191302,1.63702726668784
