"","Placette","X12","X13","X14","X15","X16","X17","X19","X21","X22"
"1",1,0.391700960219479,0.175623152385322,0.161883816312578,0.211543987436934,0.237687180423667,0.15500751163359,0.2449762978379,0.479442831756824,0.210247536700684
"2",10,0.245088016581007,0.234681374970851,0.318004136332637,0.248214936037611,0.280694477002425,0.249172361741504,0.216824595432539,0.244091710758377,0.197733606554033
"3",11,0.361691122730084,0.281850961538462,0.322852781608361,0.29942657404169,0.402170458742388,0.300729212296117,0.328925207854867,0.587190521138073,0.232892836093094
"4",12,0.191042224402483,0.187866274725781,0.167568917959137,0.153391123343272,0.205882564586986,0.138627170141961,0.160444303821667,0.22146235206548,0.161488752458438
"5",13,0.602713687059438,0.602713687059438,0.808991618516528,0.807337440769217,0.780729789799439,0.804044276069158,0.945277910290506,0.911385190692746,0.357918525953048
"6",14,0.214223907995545,0.241833722149884,0.344022476596866,0.392426482145879,0.349404908558257,0.236661998618129,0.276987459906647,0.369029017941412,0.25299724506827
"7",15,0.3798709546309,0.740381502392577,0.742409457684369,0.963734546750363,0.749373505646749,0.527340690637237,1,0.818324462051764,0.337050679353728
"8",16,0.2234375,0.237152969747631,0.355615348094579,0.251116062369624,0.354278531177466,0.389708227577997,0.360823749403795,0.350469280525121,0.210344253691415
"9",17,0.219946173398683,0.200124201222138,0.329056369182726,0.184784503538162,0.272073384941247,0.175286761975723,0.254798187930421,0.24718475208283,0.161116494221509
"10",2,0.29180352498371,0.235565096154491,0.194858689580537,0.201527227449396,0.228984945424011,0.207108941477088,0.322852781608361,0.389114502310949,0.220891648990419
"11",3,0.231212344460696,0.261510897352488,0.231205549487878,0.214694432972275,0.231372694824509,0.222124971864956,0.282238046314994,0.223172094172154,0.197312311988945
"12",4,0.292432426488299,0.274826993323474,0.224629913727583,0.222821866855017,0.264607409714257,0.200211144402662,0.184749254509218,0.384502455777805,0.228834825816265
"13",5,0.264937715866529,0.319857928715799,0.199988451412702,0.188849337689383,0.236312869035366,0.17480890415916,0.180489008404055,0.332905546477397,0.175644162313474
"14",6,0.574475637956915,0.39786000125107,0.426335124975673,0.404468461907109,0.461689473256078,0.430604864753116,0.404468461907109,0.631587285261304,0.283794393562082
"15",7,0.173919642013096,0.173919642013096,0.136983179014779,0.283794393562082,0.287461796790747,0.262429723906495,0.271797785342911,0.228650643434106,0.189481411141168
"16",8,0.109096783592716,0.148366377868164,0.0707954493013495,0.0743645180266898,0.0788661726509827,0.0679650164380753,0.0738086940537146,0.221631699234576,0.153504951744515
"17",9,0.581550297575846,0.264899945916712,0.402127226003367,0.438391283448165,0.390338558105767,0.186657015747475,0.467680109220752,0.519089450825459,0.217464374496691
